ind,pop,popshape,popcolor,region,regionshape,regioncolor
CP426_1,Alps,1,1,Alps,1,1
CP426_2,Alps,1,1,Alps,1,1
CP426_3,Alps,1,1,Alps,1,1
CP426_4,Alps,1,1,Alps,1,1
PovaCP18_1,Alps,1,1,Alps,1,1
PovaCP18_2,Alps,1,1,Alps,1,1
PovaCP18_3,Alps,1,1,Alps,1,1
PovaCP18_4,Alps,1,1,Alps,1,1
CP5_1,Alps,1,1,Alps,1,1
CP5_2,Alps,1,1,Alps,1,1
CP5_3,Alps,1,1,Alps,1,1
D1_1,Alps,1,1,Alps,1,1
D1_2,Alps,1,1,Alps,1,1
D1_4,Alps,1,1,Alps,1,1
D1_5,Alps,1,1,Alps,1,1
D47_3,Alps,1,1,Alps,1,1
D47_4,Alps,1,1,Alps,1,1
D47_2,Alps,1,1,Alps,1,1
D47_1,Alps,1,1,Alps,1,1
D56_1,Alps,1,1,Alps,1,1
D56_2,Alps,1,1,Alps,1,1
D56_3,Alps,1,1,Alps,1,1
D56_4,Alps,1,1,Alps,1,1
GMS186_1,Alps,1,1,Alps,1,1
GMS186_2,Alps,1,1,Alps,1,1
GMS186_4,Alps,1,1,Alps,1,1
GMS186_5,Alps,1,1,Alps,1,1
GMS149_1,Alps,1,1,Alps,1,1
GMS149_2,Alps,1,1,Alps,1,1
GMS149_3,Alps,1,1,Alps,1,1
GMS149_4,Alps,1,1,Alps,1,1
CP423_2,Alps,1,1,Alps,1,1
CP423_4,Alps,1,1,Alps,1,1
CP423_1,Alps,1,1,Alps,1,1
CP423_5,Alps,1,1,Alps,1,1
GMS213_4,Alps,1,1,Alps,1,1
GMS213_5,Alps,1,1,Alps,1,1
GMS213_1,Alps,1,1,Alps,1,1
GMS213_2,Alps,1,1,Alps,1,1
P615_1,West,2,2,West,2,2
P615_2,West,2,2,West,2,2
P615_3,West,2,2,West,2,2
P615_4,West,2,2,West,2,2
2812_1,West,2,2,West,2,2
2812_2,West,2,2,West,2,2
2812_3,West,2,2,West,2,2
2812_5,West,2,2,West,2,2
CP158_1,West,2,2,West,2,2
CP158_2,West,2,2,West,2,2
CP158_3,West,2,2,West,2,2
CP158_4,West,2,2,West,2,2
GMS138_1,West,2,2,West,2,2
GMS138_3,West,2,2,West,2,2
GMS138_4,West,2,2,West,2,2
GMS138_2,West,2,2,West,2,2
GMS132_1,West,2,2,West,2,2
GMS132_2,West,2,2,West,2,2
GMS132_3,West,2,2,West,2,2
GMS132_5,West,2,2,West,2,2
GMS130_1,West,2,2,West,2,2
GMS130_3,West,2,2,West,2,2
GMS130_4,West,2,2,West,2,2
GMS130_5,West,2,2,West,2,2
GMS124_2,West,2,2,West,2,2
GMS124_3,West,2,2,West,2,2
GMS124_4,West,2,2,West,2,2
GMS124_1,West,2,2,West,2,2
GMS122_1,West,2,2,West,2,2
GMS122_2,West,2,2,West,2,2
GMS122_3,West,2,2,West,2,2
2791_1,West,2,2,West,2,2
2791_2,West,2,2,West,2,2
2791_3,West,2,2,West,2,2
2791_4,West,2,2,West,2,2
GMS196_4,West,2,2,West,2,2
GMS196_1,West,2,2,West,2,2
GMS196_2,West,2,2,West,2,2
GMS196_5,West,2,2,West,2,2
GMS158_2,East,3,3,East,3,3
GMS158_1,East,3,3,East,3,3
GMS158_4,East,3,3,East,3,3
GMS158_3,East,3,3,East,3,3
D54_4,East,3,3,East,3,3
D54_2,East,3,3,East,3,3
D54_1,East,3,3,East,3,3
D54_3,East,3,3,East,3,3
PS4B_1,East,3,3,East,3,3
PS4B_2,East,3,3,East,3,3
PS4A_1,East,3,3,East,3,3
PS4A_2,East,3,3,East,3,3
PS2_1,East,3,3,East,3,3
PS2_2,East,3,3,East,3,3
PS2_3,East,3,3,East,3,3
PS2_5,East,3,3,East,3,3
GMS159_2,East,3,3,East,3,3
GMS159_3,East,3,3,East,3,3
GMS159_5,East,3,3,East,3,3
GMS159_1,East,3,3,East,3,3
D37_1,East,3,3,East,3,3
D37_2,East,3,3,East,3,3
D37_3,East,3,3,East,3,3
D37_4,East,3,3,East,3,3
D18_2,East,3,3,East,3,3
